"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1938186461058371747","Thu Jun 26 10:43:56 +0000 2025","478","Tenks unnes https://t.co/ywQ9Ew6DkR","1938186461058371747","https://pbs.twimg.com/media/GuXSUMXbEAQoxLJ.jpg","","en","","4","32","5","https://x.com/undefined/status/1938186461058371747","1233425037849284610",
"1938187971850866831","Thu Jun 26 10:49:56 +0000 2025","13","assalamualaikum unnes!! https://t.co/ocmBDYRDmh","1938187971850866831","https://pbs.twimg.com/media/GuXTsFQbEAE-LEW.jpg","","in","","1","7","0","https://x.com/undefined/status/1938187971850866831","1847306406124572672",
"1938236431320993862","Thu Jun 26 14:02:30 +0000 2025","16","ARIGATOU UNNES I LOVE UUUU https://t.co/Cgpo8JcJiG","1938236431320993862","https://pbs.twimg.com/media/GuX_wylbYAArSki.jpg","","en","","0","22","0","https://x.com/undefined/status/1938236431320993862","1900555418100981761",
"1938234662528422327","Thu Jun 26 13:55:28 +0000 2025","64","Alhamdulillah terima kasih unnes https://t.co/RNT9hkU5CU","1938234662528422327","https://pbs.twimg.com/media/GuX-JnsbEAA_3jl.jpg","","in","","1","77","1","https://x.com/undefined/status/1938234662528422327","1888783182075744257",
"1938238150293536770","Thu Jun 26 14:09:20 +0000 2025","39","Assalamualaikum unsoed unnes https://t.co/G7QYkmteNa","1938238150293536770","https://pbs.twimg.com/media/GuYBUi8bEAIlDHx.jpg","","in","","0","26","0","https://x.com/undefined/status/1938238150293536770","1341056427461263360",
"1938195246158053549","Thu Jun 26 11:18:51 +0000 2025","14","MasyaAllah alhamdulillah ya Allah makasi UNS Unnes https://t.co/XLexmWJltq","1938195246158053549","https://pbs.twimg.com/media/GuXaTbybUAAFr_8.jpg","","in","","0","7","0","https://x.com/undefined/status/1938195246158053549","1676167972094894081",
"1938184271489032333","Thu Jun 26 10:35:14 +0000 2025","76","jadi maba ilkom unnes guys.... https://t.co/ZRYU10fkKE","1938184271489032333","https://pbs.twimg.com/media/GuXQUstbEAU32hw.jpg","","in","","1","20","1","https://x.com/undefined/status/1938184271489032333","1385040515385593858",
"1938249450507669955","Thu Jun 26 14:54:14 +0000 2025","5","ALHAMDULILLAH FH MAKASI UNNES https://t.co/lV2nyMhjsg","1938249450507669955","https://pbs.twimg.com/media/GuYLmCXbIAALEW4.jpg","","in","","0","8","0","https://x.com/undefined/status/1938249450507669955","1639123351972229121",
"1938243972771811394","Thu Jun 26 14:32:28 +0000 2025","9","PSIKO UNNES https://t.co/6zskvSXIRh","1938243972771811394","https://pbs.twimg.com/media/GuYGnzRbEAI2yTY.jpg","","no","","0","8","0","https://x.com/undefined/status/1938243972771811394","1721462721676460032",
"1938165687996109249","Thu Jun 26 09:21:24 +0000 2025","60","yang lagi nunggu pengumuman sm unnes juga di web-nya kita disuruh nunggu gusy. orang sabar nanti dilolosin katanya https://t.co/RMWfVBTuy9","1938165687996109249","https://pbs.twimg.com/media/GuW_bAsagAAvhPf.jpg","","in","","0","9","0","https://x.com/undefined/status/1938165687996109249","1823028302099214337",
"1938235500659445853","Thu Jun 26 13:58:48 +0000 2025","8","alhamdullilah makasih unnes telah menerima cintaku https://t.co/UP1gPLPkz0","1938235500659445853","https://pbs.twimg.com/media/GuX-6gEbEAMt0c6.jpg","","in","","0","6","0","https://x.com/undefined/status/1938235500659445853","1821514116143697920",
