"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1900205280484298961","Thu Mar 13 15:20:17 +0000 2025","0","-ness beli pembatas pintu kaya gini di unnes dimana yaa? https://t.co/QGobRB7nrG","1900205280484298961","https://pbs.twimg.com/media/Gl7iocNXAAAd8Iy.jpg","","in","CARA KIRIM MENFESS :","0","2","0","https://x.com/unicelounge/status/1900205280484298961","2642629536","unicelounge"
"1900090755244331438","Thu Mar 13 07:45:12 +0000 2025","2","-ness info dong cuaca unnes 3 hr belakangan ini terutama pas malem jam 9an ke atas makasih yaa","1900090755244331438","","","in","CARA KIRIM MENFESS :","0","1","0","https://x.com/unicelounge/status/1900090755244331438","2642629536","unicelounge"
"1900162504556159374","Thu Mar 13 12:30:19 +0000 2025","0","TITIPAN -ness guyss kalau ada yang liat stnk jatuh no plat H 3466 QZ di sekitar fbs/unnes tolong infoin yaa terima kasih","1900162504556159374","","","in","CARA KIRIM MENFESS :","0","0","0","https://x.com/unicelounge/status/1900162504556159374","2642629536","unicelounge"
"1900026576755978608","Thu Mar 13 03:30:11 +0000 2025","1","-ness ada yang tau tempat jual jamu kunyit di sekitar unnes?","1900026576755978608","","","in","CARA KIRIM MENFESS :","0","3","0","https://x.com/unicelounge/status/1900026576755978608","2642629536","unicelounge"
"1900130454008696842","Thu Mar 13 10:22:57 +0000 2025","0","Ikut war takjil dulu ness #unnes #RamadhanFullPower #anjem https://t.co/dUT29VwXsc","1900130454008696842","https://pbs.twimg.com/ext_tw_video_thumb/1900130419397341184/pu/img/vcQK2XJ1Oj_mNbn-.jpg","","in","","0","0","0","https://x.com/anjem_id/status/1900130454008696842","1888262993332625408","anjem_id"
"1900200245725700415","Thu Mar 13 15:00:17 +0000 2025","0","-ness guys kalo mau beli plester(?) besar buat nutupin luka/bekas luka di lengan dimana yaa di unnes raya ini sama berapaan harganyaa butuh bgttt","1900200245725700415","","","in","CARA KIRIM MENFESS :","0","2","0","https://x.com/unicelounge/status/1900200245725700415","2642629536","unicelounge"
"1900021606543511687","Thu Mar 13 03:10:26 +0000 2025","2","-ness ingfokan anjem unnes-balai diklat keagamaan Semarang dong feenya berapa?","1900021606543511687","","","in","CARA KIRIM MENFESS :","0","17","0","https://x.com/unicelounge/status/1900021606543511687","2642629536","unicelounge"
"1900109644569235730","Thu Mar 13 09:00:16 +0000 2025","3","-ness info sewa motor untuk ke smg bawah dan sekitar unnes perkiraan untuk pertengahan April nanti thankies","1900109644569235730","","","in","CARA KIRIM MENFESS :","0","4","0","https://x.com/unicelounge/status/1900109644569235730","2642629536","unicelounge"
"1900220349943341513","Thu Mar 13 16:20:10 +0000 2025","0","-ness info anjem motor dari unnes ke bandara yg muat koper di depannya sertakan fee yaa","1900220349943341513","","","in","CARA KIRIM MENFESS :","0","14","0","https://x.com/unicelounge/status/1900220349943341513","2642629536","unicelounge"
"1900155250574819671","Thu Mar 13 12:01:29 +0000 2025","0","UNTAG GRADUATION Makeup wisuda undip unnes UIN Walisongo polines poltekkes ums unpand unwahas untag USM udinus unika MUA wisuda lamaran prewed akad resepsi unduh mantu photoshoot bridesmaid MUA banyumanik gunungpati tembalang Jatingaleh bawen Ambarawa https://t.co/PYzHTIuFEu","1900155250574819671","https://pbs.twimg.com/media/Gl61G1ZaUAAwKq8.jpg","","in","Ungaran, Indonesia","0","0","0","https://x.com/muanismakeup/status/1900155250574819671","1672605412133322757","muanismakeup"
"1900059305702838401","Thu Mar 13 05:40:14 +0000 2025","1","(titipan) ada yang nanti lebaran ga pulang sama sekali alias stay Unnes? cung dong soalnya ada niatan ga pulang juga -ness","1900059305702838401","","","in","CARA KIRIM MENFESS :","0","4","0","https://x.com/unicelounge/status/1900059305702838401","2642629536","unicelounge"
"1899996384423563279","Thu Mar 13 01:30:12 +0000 2025","4","aku mau nyambung wifi unnes ko gbisa ya dilaptop aku? kenapa ya hhu ad yg bs bantu ga -ness https://t.co/6jL0KYjaIC","1899996384423563279","https://pbs.twimg.com/media/Gl4kpFgWsAAaIdI.png","","in","CARA KIRIM MENFESS :","0","3","0","https://x.com/unicelounge/status/1899996384423563279","2642629536","unicelounge"
